Cell;Band(MHz);Date;Data_Volume
cell0001;1800;21/06/2024;70400
cell0001;1800;22/06/2024;135200
cell0001;1800;23/06/2024;118800
cell0001;1800;24/06/2024;362300
cell0001;1800;25/06/2024;378300
cell0001;1800;26/06/2024;151400
cell0001;1800;27/06/2024;143300
cell0001;1800;28/06/2024;121900
cell0001;1800;29/06/2024;185100
cell0001;1800;30/06/2024;193500
cell0001;1800;01/07/2024;344700
cell0001;1800;02/07/2024;176500
cell0001;1800;03/07/2024;270500
cell0001;1800;04/07/2024;330000
cell0001;1800;05/07/2024;81700
cell0001;1800;06/07/2024;67000
cell0001;1800;07/07/2024;67000
cell0001;1800;08/07/2024;166900
cell0001;1800;09/07/2024;194400
cell0001;1800;10/07/2024;164200
cell0001;1800;11/07/2024;125000
cell0001;1800;12/07/2024;58300
cell0001;1800;13/07/2024;252600
cell0001;1800;14/07/2024;231200
cell0001;1800;15/07/2024;222500
cell0001;1800;16/07/2024;153100
cell0001;1800;17/07/2024;181300
cell0001;1800;18/07/2024;137500
cell0001;1800;19/07/2024;300000
cell0001;1800;20/07/2024;414300
cell0001;1800;21/07/2024;126300
cell0001;1800;22/07/2024;83400
cell0001;1800;23/07/2024;241500
cell0001;1800;24/07/2024;115400
cell0001;1800;25/07/2024;150700
cell0001;1800;26/07/2024;484700
cell0001;1800;27/07/2024;250000
cell0001;1800;28/07/2024;369200
cell0001;1800;29/07/2024;350000
cell0012;1800;01/01/2023;168900
cell0012;1800;02/01/2023;160200
cell0012;1800;03/01/2023;84200
cell0012;1800;04/01/2023;159300
cell0012;1800;05/01/2023;155300
cell0012;1800;06/01/2023;235600
cell0012;1800;07/01/2023;149300
cell0012;1800;08/01/2023;164200
cell0012;1800;09/01/2023;223700
cell0012;1800;10/01/2023;189600
cell0012;1800;11/01/2023;152500
cell0012;1800;12/01/2023;178100
cell0012;1800;13/01/2023;135200
cell0012;1800;14/01/2023;120800
cell0012;1800;15/01/2023;132300
cell0012;1800;16/01/2023;129100
cell0012;1800;17/01/2023;132200
cell0012;1800;18/01/2023;120800
cell0012;1800;19/01/2023;266900
cell0012;1800;20/01/2023;293900
cell0012;1800;21/01/2023;221600
cell0012;1800;22/01/2023;14999
cell0012;1800;23/01/2023;61600
cell0012;1800;24/01/2023;69300
cell0012;1800;25/01/2023;191600
cell0012;1800;26/01/2023;105200
cell0012;1800;27/01/2023;108900
cell0012;1800;28/01/2023;120700
cell0012;1800;29/01/2023;112500
cell0012;1800;30/01/2023;134700
cell0012;1800;31/01/2023;337200
cell0012;1800;01/02/2023;160100
cell0012;1800;02/02/2023;148300
cell0012;1800;03/02/2023;164000
cell0012;1800;04/02/2023;180900
cell0012;1800;05/02/2023;182200
cell0012;1800;06/02/2023;168900
cell0012;1800;07/02/2023;177200
cell0012;1800;08/02/2023;147900
cell0012;1800;09/02/2023;158200
cell0012;1800;10/02/2023;163000
cell0012;1800;11/02/2023;185700
cell0012;1800;12/02/2023;154200
cell0012;1800;13/02/2023;217100
cell0012;1800;14/02/2023;144700
cell0012;1800;15/02/2023;119200
cell0012;1800;16/02/2023;141400
cell0012;1800;17/02/2023;126900
cell0012;1800;18/02/2023;118500
cell0012;1800;19/02/2023;125400
cell0012;1800;20/02/2023;267400
cell0012;1800;21/02/2023;245200
cell0012;1800;22/02/2023;273600
cell0012;1800;23/02/2023;281700
cell0012;1800;24/02/2023;98100
cell0012;1800;25/02/2023;76600
cell0012;1800;26/02/2023;101500
cell0012;1800;27/02/2023;220300
cell0012;1800;28/02/2023;113500
cell0012;1800;01/03/2023;187500
cell0012;1800;02/03/2023;243800
cell0012;1800;03/03/2023;212800
cell0012;1800;04/03/2023;248300
cell0012;1800;05/03/2023;182100
cell0012;1800;06/03/2023;209700
cell0012;1800;07/03/2023;220000
cell0012;1800;08/03/2023;174400
cell0012;1800;09/03/2023;220500
cell0012;1800;10/03/2023;171300
cell0012;1800;11/03/2023;161200
cell0012;1800;12/03/2023;118200
cell0012;1800;13/03/2023;187300
cell0012;1800;14/03/2023;130400
cell0012;1800;15/03/2023;129700
cell0012;1800;16/03/2023;123600
cell0012;1800;17/03/2023;142000
cell0012;1800;18/03/2023;154400
cell0012;1800;19/03/2023;125400
cell0012;1800;20/03/2023;120600
cell0012;1800;21/03/2023;99600
cell0012;1800;22/03/2023;103000
cell0012;1800;23/03/2023;109900
cell0012;1800;24/03/2023;175500
cell0012;1800;25/03/2023;179400
cell0012;1800;26/03/2023;156100
cell0012;1800;27/03/2023;266600
cell0012;1800;28/03/2023;290500
cell0012;1800;29/03/2023;213700
cell0012;1800;30/03/2023;227700
cell0012;1800;31/03/2023;166900
cell0012;1800;01/04/2023;66800
cell0012;1800;02/04/2023;98300
cell0012;1800;03/04/2023;92000
cell0012;1800;04/04/2023;103500
cell0012;1800;05/04/2023;104900
cell0012;1800;06/04/2023;132100
cell0012;1800;07/04/2023;150000
cell0012;1800;08/04/2023;335600
cell0012;1800;09/04/2023;296200
cell0012;1800;10/04/2023;342300
cell0012;1800;11/04/2023;314900
cell0012;1800;12/04/2023;192900
cell0012;1800;13/04/2023;175700
cell0012;1800;14/04/2023;436100
cell0012;1800;15/04/2023;177400
cell0012;1800;16/04/2023;254200
cell0012;1800;17/04/2023;243400
cell0012;1800;18/04/2023;146700
cell0012;1800;19/04/2023;306800
cell0012;1800;20/04/2023;143800
cell0012;1800;21/04/2023;144700
cell0012;1800;22/04/2023;141400
cell0012;1800;23/04/2023;152200
cell0012;1800;24/04/2023;144000
cell0012;1800;25/04/2023;132000
cell0012;1800;26/04/2023;140700
cell0012;1800;27/04/2023;137000
cell0012;1800;28/04/2023;109800
cell0012;1800;29/04/2023;158900
cell0012;1800;30/04/2023;89300
cell0012;1800;01/05/2023;115000
cell0012;1800;02/05/2023;137500
cell0012;1800;03/05/2023;303900
cell0012;1800;04/05/2023;247800
cell0012;1800;05/05/2023;225600
cell0012;1800;06/05/2023;181600
cell0012;1800;07/05/2023;160200
cell0012;1800;08/05/2023;151900
cell0012;1800;09/05/2023;139800
cell0012;1800;10/05/2023;152900
cell0012;1800;11/05/2023;132100
cell0012;1800;12/05/2023;152100
cell0012;1800;13/05/2023;93200
cell0012;1800;14/05/2023;67500
cell0012;1800;15/05/2023;62000
cell0012;1800;16/05/2023;111800
cell0012;1800;17/05/2023;104600
cell0012;1800;18/05/2023;106700
cell0012;1800;19/05/2023;116700
cell0012;1800;20/05/2023;347700
cell0012;1800;21/05/2023;267600
cell0012;1800;22/05/2023;264700
cell0012;1800;23/05/2023;136300
cell0012;1800;24/05/2023;167500
cell0012;1800;25/05/2023;98500
cell0012;1800;26/05/2023;169900
cell0012;1800;27/05/2023;223500
cell0012;1800;28/05/2023;278600
cell0012;1800;29/05/2023;400000
cell0012;1800;30/05/2023;260100
cell0012;1800;31/05/2023;211100
cell0012;1800;01/06/2023;429300
cell0012;1800;02/06/2023;194300
cell0012;1800;03/06/2023;165800
cell0012;1800;04/06/2023;167800
cell0012;1800;05/06/2023;178600
cell0012;1800;06/06/2023;197000
cell0012;1800;07/06/2023;228600
cell0012;1800;08/06/2023;249000
cell0012;1800;09/06/2023;330600
cell0012;1800;10/06/2023;180400
cell0012;1800;11/06/2023;94600
cell0012;1800;12/06/2023;161700
cell0012;1800;13/06/2023;158300
cell0012;1800;14/06/2023;147700
cell0012;1800;15/06/2023;159600
cell0012;1800;16/06/2023;133700
cell0012;1800;17/06/2023;139800
cell0012;1800;18/06/2023;137300
cell0012;1800;19/06/2023;142900
cell0012;1800;20/06/2023;115300
cell0012;1800;21/06/2023;133900
cell0012;1800;22/06/2023;133900
cell0012;1800;23/06/2023;117000
cell0012;1800;24/06/2023;165500
cell0012;1800;25/06/2023;144300
cell0012;1800;26/06/2023;143800
cell0012;1800;27/06/2023;129800
cell0012;1800;28/06/2023;150400
cell0012;1800;29/06/2023;165100
cell0012;1800;30/06/2023;137800
cell0012;1800;01/07/2023;153800
cell0012;1800;02/07/2023;160100
cell0012;1800;03/07/2023;144500
cell0012;1800;04/07/2023;139300
cell0012;1800;05/07/2023;129700
cell0012;1800;06/07/2023;131900
cell0012;1800;07/07/2023;98300
cell0012;1800;08/07/2023;132700
cell0012;1800;09/07/2023;136900
cell0012;1800;10/07/2023;139300
cell0012;1800;11/07/2023;114900
cell0012;1800;12/07/2023;134500
